,RASDSSinfo,DecSDSSinfo,zSDSSinfo,HalphaSDSSline [1e-17*erg/cm^2/s],OIII5007SDSSline [1e-17*erg/cm^2/s],OIII4959SDSSline [1e-17*erg/cm^2/s],HbetaSDSSline [1e-17*erg/cm^2/s],HdeltaSDSSline [1e-17*erg/cm^2/s],N6583SDSS [1e-17*erg/cm^2/s],S6717SDSSline [1e-17*erg/cm^2/s],S6731SDSSline [1e-17*erg/cm^2/s],OII3726SDSSline [1e-17*erg/cm^2/s],OII3729SDSSline [1e-17*erg/cm^2/s],OI6300SDSSline [1e-17*erg/cm^2/s],HalphaSDSSline_ERR,OIII5007SDSSline_ERR,OIII4959SDSSline_ERR,HbetaSDSSline_ERR,HdeltaSDSSline_ERR,N6583SDSS_ERR,S6717SDSSline_ERR,S6731SDSSline_ERR,OII3726SDSSline_ERR,OII3729SDSSline_ERR,OI6300SDSSline_ERR,Dn4000SDSSindx,petroRad,petroRadE,petroR50,petroR50E,petroR90,petroR90E,Metallicity_med(T04),Metallicity_avg(T04),Mstaravg_SDSStotlgm,Mstarmed_SDSStotlgm,SFR_flag_all,totalSFR_Avg,totalSFR_Med,fibSFR_avg_all,fibSFR_med_all,fibsSFR_avg_all,fibsSFR_med_all,sSFR_avg_all,sSFR_med_all,sSFR_flag_all,avgSFRD,medSFRD,Halpha_kcorr,Hbeta_kcorr,OIII5007_kcorr,OIII4959_kcorr,SII6716_kcorr,SII6731_kcorr,NII6583_kcorr,OII3726_kcorr,OII3729_kcorr,Log(O/H)+12 [NII/OII],Log(O/H)+12 [R23],NII/Halpha,OIII/Hbeta
0,170.8624267578125,-0.713572084903717,0.04078395292162895,1786.37841796875,153.95480346679688,51.94016647338867,497.8708190917969,130.51161193847656,572.0419311523438,406.5392150878906,310.145751953125,380.5521240234375,323.9493408203125,40.5838737487793,15.36373519897461,4.557722091674805,3.7607831954956055,6.3900346755981445,4.2761592864990225,6.055838584899902,5.797000408172607,5.270122051239014,9.166776657104492,8.906784057617188,3.1885435581207275,1.2129507064819336,6.434446811676025,0.034390144050121314,2.831146240234375,0.00927004124969244,7.183330059051514,0.0578460730612278,8.950004577636719,8.960009574890137,10.27914047241211,10.260388374328613,0.0,0.3935900926589966,0.3935900926589966,-0.11538787186145782,-0.16120918095111847,-9.658669471740724,-9.677972793579102,-9.916190147399902,-9.987386703491213,0,0.00302602042240109,0.00302602042240109,2001.0483507314768,582.4061082166204,179.2891428376222,60.57724739932469,453.9137511064127,346.1790084556372,640.5186231104464,464.7886345310916,395.60359931295983,9.165474139029694,8.093044637254248,-0.49472582109269525,-0.5116719302564399
1,194.85743713378903,-2.2484591007232666,0.04741273447871208,604.04833984375,29.56519889831543,12.127727508544922,97.46540832519531,17.377388000488278,475.36260986328125,89.77892303466797,75.02930450439453,40.51544570922852,49.89633560180664,23.23397827148437,6.250317096710205,3.5533111095428467,3.4540789127349854,3.397423505783081,3.633042812347412,5.352959632873535,3.3822600841522217,3.3649251461029053,7.469229698181152,7.817921161651611,2.936687469482422,1.1792263984680176,8.353609085083008,0.06638360768556595,3.5777873992919917,0.016872551292181015,8.858758926391602,0.09377919882535933,-99.9000015258789,-99.9000015258789,10.50690746307373,10.48598575592041,0.0,1.11516010761261,1.11516010761261,0.9336150884628296,0.9287270307540894,-8.811277389526367,-8.814050674438477,-9.434880256652832,-9.473312377929688,0,0.005086734331697485,0.005086734331697485,889.4701507475116,166.38118032580417,49.70385528886969,20.492252562191027,130.74194970121093,109.14597249554421,698.9886793730327,80.1218736250228,98.62808734121666,9.389365458463033,8.20177865068392,-0.10466123631897525,-0.5247141247308348
2,121.68041229248048,45.66056823730469,0.03425921127200126,1142.3121337890625,67.04371643066406,25.24435043334961,264.80389404296875,65.17415618896484,671.6726684570312,140.96864318847656,145.3172607421875,171.19874572753906,90.61459350585938,17.255672454833984,12.194875717163086,4.078230857849121,3.7034087181091313,5.406203746795653,4.345344543457031,7.602035045623778,4.826979160308838,4.675018787384033,8.547087669372559,7.868248462677003,3.429439783096313,1.3158286809921265,4.9665608406066895,0.06452496349811554,2.050701856613159,0.013454636558890344,6.196133136749268,0.09237948805093764,-99.9000015258789,-99.9000015258789,10.044665336608887,10.03276538848877,0.0,-0.024479903280735016,-0.024479903280735016,-0.25237008929252625,-0.23404860496521,-9.77511501312256,-9.755755424499512,-10.101339340209961,-10.135714530944824,0,-0.0003158990391659744,-0.0003158990391659744,1403.1438397835684,351.8507449710279,88.36106200345783,33.36082596143435,172.13878918189815,177.34826726227055,824.4198971710073,245.97036984907956,130.15919622535415,9.28248012493851,8.21743516249629,-0.23095372909983183,-0.6000975479168373
3,160.74612426757812,65.14624786376953,0.04256894811987877,488.9136657714844,30.15021514892578,6.587790966033936,91.12710571289062,13.719441413879395,373.6052551269531,72.44854736328125,78.71086120605469,58.79186248779297,26.958314895629886,19.961332321166992,5.421457767486572,2.603471040725708,2.404597282409668,2.8049960136413574,2.655951023101806,4.6531639099121085,2.9344475269317627,2.988245725631714,5.624605178833008,5.55704927444458,2.524871587753296,1.283760666847229,4.607538223266602,0.0569881908595562,2.0227181911468506,0.011593838222324848,4.823957443237305,0.0668780505657196,-99.9000015258789,-99.9000015258789,10.08365249633789,10.069900512695312,0.0,0.34776008129119873,0.34776008129119873,0.19830368459224698,0.2068880796432495,-9.34849452972412,-9.338891983032227,-9.773159980773926,-9.80593967437744,0,0.005214251353507197,0.005214251353507197,669.8058370810027,140.79467582353857,46.00699044623342,10.094010081958796,98.36171119206008,106.77111521840042,511.2458343575477,102.38108108420487,46.92818318791098,9.329039356813743,8.161933713085919,-0.11731914552853416,-0.48576240743200855
4,213.96153259277344,1.8826297521591189,0.025584809482097626,484.5317687988281,138.42181396484378,37.88974380493164,117.66849517822266,27.761945724487305,303.1297912597656,101.48884582519531,83.86956787109375,85.66924285888672,98.98616027832031,8.836410522460938,6.910597801208496,5.304322719573975,4.442337512969972,4.458792686462402,4.4273953437805185,5.521017074584961,4.475708484649658,4.346958637237549,11.17333984375,10.236515998840332,3.4380943775177,1.3354204893112185,8.98858642578125,0.12200191617012025,4.022663116455078,0.022637611255049702,10.63416576385498,0.1655247062444687,-99.9000015258789,-99.9000015258789,10.060293197631836,10.048553466796877,0.0,-0.3870798945426941,-0.3870798945426941,-0.7841925621032715,-0.7591628432273865,-9.914913177490234,-9.88632869720459,-10.482999801635742,-10.486470222473145,0,-0.0015249933303406406,-0.0015249933303406406,581.4769904004304,151.40023355317746,176.82318829016697,48.51697657182824,121.15943310495713,100.0748017747948,363.5375208832669,118.14023376891772,136.47522217423472,9.27207451296182,4.036598961936214,-0.20398329270549384,0.06741267193014948
5,173.69271850585938,2.9210336208343506,0.028752624988555905,5056.4375,582.5077514648438,194.50721740722656,1376.923583984375,398.0225830078125,2650.439697265625,630.6510620117188,566.27099609375,614.5482177734375,458.4642333984375,81.82575988769531,26.810720443725586,7.232353210449219,5.361788272857666,10.508923530578613,6.427590847015381,13.574792861938475,7.140936851501465,6.84933614730835,14.22991943359375,13.37605094909668,4.132648944854736,1.0830926895141602,9.20083999633789,0.23456864058971405,3.9812498092651367,0.01809660531580448,11.21945858001709,0.1206655651330948,-99.9000015258789,-99.9000015258789,10.145255088806152,10.124658584594727,0.0,0.42965009808540333,0.42965009808540333,0.09341361373662947,0.10905700922012328,-9.257705688476562,-9.239324569702148,-9.754389762878418,-9.79734992980957,0,0.001615511619113857,0.001615511619113857,5730.225777241143,1636.7725382294318,689.020779039537,230.45059168347692,712.1285386959488,639.210143378887,3002.2465536014906,766.0961991137652,571.4373614126534,9.301115486442312,8.125578279105632,-0.2807253790348816,-0.3757560105611282
7,143.09237670898438,55.91920471191406,0.04919307306408882,690.8153076171875,70.38697814941406,21.259252548217773,178.57669067382812,41.476478576660156,296.1556396484375,139.67105102539062,100.22699737548828,95.2606201171875,128.43695068359378,20.739850997924805,5.1906914710998535,2.373650312423706,2.0663836002349854,2.855699300765991,2.2978289127349854,3.312814474105835,2.711661100387573,2.4439799785614014,4.717017650604248,4.939640998840332,1.9202464818954468,1.2846603393554688,5.119482517242432,0.08675485849380493,2.266503095626831,0.01413518562912941,5.7491841316223145,0.09154651314020157,9.00999355316162,9.019983291625977,10.208337783813477,10.197538375854492,0.0,0.1250600963830948,0.1250600963830948,-0.10642434656620026,-0.12667182087898254,-9.716779708862305,-9.741397857666016,-10.11829948425293,-10.160123825073242,0,0.0015188565481396262,0.0015188565481396262,803.5244974585619,220.05612879130786,86.21959557652443,26.092835183421293,161.75638121375567,116.02687917108543,344.2842495554696,124.32822527024194,167.5979814669989,9.259008965810775,8.147224844808996,-0.368081966964316,-0.40692748720725685
8,150.03378295898438,2.765159368515014,0.028877086937427517,1732.642822265625,54.99080276489258,28.838911056518555,441.8360290527344,117.42684936523438,890.324462890625,210.2276153564453,185.4456329345703,136.2772216796875,103.87078094482422,24.969106674194336,12.33022403717041,3.346524477005005,3.1886026859283447,5.292367935180664,3.859339714050293,6.953146934509277,4.3142051696777335,4.242072582244873,7.956527233123778,7.704224586486816,2.9570155143737797,1.1296427249908447,6.166750907897949,0.20175085961818692,2.7877447605133057,0.009109238162636757,6.669607162475586,0.05490587651729584,9.250004768371582,9.260026931762695,10.136724472045898,10.133819580078123,0.0,0.2680301070213318,0.2680301070213318,-0.12591569125652313,-0.13582460582256314,-9.599589347839355,-9.614484786987305,-9.90573024749756,-9.9696626663208,0,0.0022434732428854654,0.0022434732428854654,2029.102124284888,549.6133482406588,67.97891545107711,35.72410720109582,245.08552696779486,216.1002255363685,1042.0590523528438,180.00775631396746,137.17668974343223,9.34553373401638,8.206049779478725,-0.289411574877029,-0.9076830402336818
9,133.77354431152344,51.63520812988281,0.047764062881469734,1789.2607421875,114.75843811035156,41.65040969848633,300.75714111328125,54.63715744018555,776.1263427734375,311.6253662109375,235.73760986328125,157.55499267578125,129.57084655761722,50.29260635375977,9.567537307739258,2.760209083557129,2.4332332611083984,3.311578750610352,2.394089698791504,5.097097396850586,3.717071056365967,3.398310661315918,5.1021151542663565,5.022100448608398,2.422325134277344,1.2488083839416504,5.667991638183594,0.30780741572380066,2.495823383331299,0.3006189167499542,7.770432472229004,2.241463661193848,9.046430587768556,9.05051326751709,10.51632022857666,10.502591133117676,0.0,0.9544901251792908,0.9544901251792908,0.9403461217880248,0.9128693342208862,-9.035149574279783,-9.057621002197266,-9.598520278930664,-9.630855560302734,0,0.009457212884828044,0.009457212884828044,2581.3362359691487,499.0978035739863,187.6987335201408,68.45112305548818,444.87654967328206,336.1989442316406,1118.2046993471022,300.53855594326194,247.05139168714535,9.294984600511224,8.131302338700314,-0.36332326484745225,-0.4247243163609558
10,131.72622680664062,2.5600552558898926,0.028665991500020024,971.4473266601562,43.388145446777344,19.665796279907227,206.3662109375,44.77332305908203,407.2297058105469,133.03742980957028,103.20169067382812,66.98421478271484,95.3170166015625,17.867538452148438,6.275699138641357,2.428727149963379,2.379921197891236,3.025705575942993,2.872731924057007,3.755794763565064,2.8158938884735107,2.8474423885345463,6.45143461227417,6.358012199401856,2.1772773265838623,1.3246228694915771,8.672186851501465,0.16619792580604553,3.9179065227508554,0.01601131446659565,9.6063814163208,0.10319091379642488,9.149849891662598,9.159409523010254,10.234030723571776,10.220416069030762,0.0,0.1701800972223282,0.1701800972223282,-0.04588789865374565,-0.06378952413797379,-9.46146011352539,-9.486285209655762,-10.10056972503662,-10.147941589355467,0,0.0007202804736239012,0.0007202804736239012,1246.5557299200175,291.26993546673015,60.63825523551704,27.574357393903195,169.49660280003286,131.39387599791516,522.0785965362177,103.94168542995001,147.8630998139027,9.329698499020735,8.190525619884694,-0.3779758103656522,-0.6815489628800183
